"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","GGDEBT","TOT","PC_GDP","A","2016",61.91907,
"SWE","GGDEBT","TOT","PC_GDP","A","2017",60.09195,
"SWE","GGDEBT","TOT","PC_GDP","A","2018",59.19788,
"SWE","GGDEBT","TOT","PC_GDP","A","2019",55.64856,
"SWE","GGDEBT","TOT","PC_GDP","A","2020",61.81865,
"CHE","GGDEBT","TOT","PC_GDP","A","2016",41.18677,
"CHE","GGDEBT","TOT","PC_GDP","A","2017",41.89757,
"CHE","GGDEBT","TOT","PC_GDP","A","2018",39.73784,
"CHE","GGDEBT","TOT","PC_GDP","A","2019",40.99786,
"TUR","GGDEBT","TOT","PC_GDP","A","2016",34.35389,
"TUR","GGDEBT","TOT","PC_GDP","A","2017",34.86066,
"TUR","GGDEBT","TOT","PC_GDP","A","2018",32.36224,
"TUR","GGDEBT","TOT","PC_GDP","A","2019",34.81565,
"GBR","GGDEBT","TOT","PC_GDP","A","2016",119.7748,
"GBR","GGDEBT","TOT","PC_GDP","A","2017",117.066,
"GBR","GGDEBT","TOT","PC_GDP","A","2018",113.8455,
"GBR","GGDEBT","TOT","PC_GDP","A","2019",117.1544,
"GBR","GGDEBT","TOT","PC_GDP","A","2020",144.072,
"USA","GGDEBT","TOT","PC_GDP","A","2016",138.1221,
"USA","GGDEBT","TOT","PC_GDP","A","2017",134.6811,
"USA","GGDEBT","TOT","PC_GDP","A","2018",136.1907,
"USA","GGDEBT","TOT","PC_GDP","A","2019",135.0383,
"USA","GGDEBT","TOT","PC_GDP","A","2020",160.5066,
"CHL","GGDEBT","TOT","PC_GDP","A","2016",28.26056,
"CHL","GGDEBT","TOT","PC_GDP","A","2017",29.10641,
"CHL","GGDEBT","TOT","PC_GDP","A","2018",32.07378,
"CHL","GGDEBT","TOT","PC_GDP","A","2019",37.63443,
"EST","GGDEBT","TOT","PC_GDP","A","2016",13.58139,
"EST","GGDEBT","TOT","PC_GDP","A","2017",13.08883,
"EST","GGDEBT","TOT","PC_GDP","A","2018",12.93989,
"EST","GGDEBT","TOT","PC_GDP","A","2019",13.3884,
"ISR","GGDEBT","TOT","PC_GDP","A","2016",76.00293,
"ISR","GGDEBT","TOT","PC_GDP","A","2017",73.1968,
"ISR","GGDEBT","TOT","PC_GDP","A","2018",71.70158,
"SVN","GGDEBT","TOT","PC_GDP","A","2016",97.20789,
"SVN","GGDEBT","TOT","PC_GDP","A","2017",88.92531,
"SVN","GGDEBT","TOT","PC_GDP","A","2018",82.9892,
"SVN","GGDEBT","TOT","PC_GDP","A","2019",80.90915,
"LVA","GGDEBT","TOT","PC_GDP","A","2016",49.82199,
"LVA","GGDEBT","TOT","PC_GDP","A","2017",47.18818,
"LVA","GGDEBT","TOT","PC_GDP","A","2018",45.7956,
"LVA","GGDEBT","TOT","PC_GDP","A","2019",47.31281,
"COL","GGDEBT","TOT","PC_GDP","A","2016",73.09144,
"COL","GGDEBT","TOT","PC_GDP","A","2017",75.18874,
"COL","GGDEBT","TOT","PC_GDP","A","2018",88.96687,
"COL","GGDEBT","TOT","PC_GDP","A","2019",82.77155,
"LTU","GGDEBT","TOT","PC_GDP","A","2016",50.88945,
"LTU","GGDEBT","TOT","PC_GDP","A","2017",47.00182,
"LTU","GGDEBT","TOT","PC_GDP","A","2018",40.67271,
"LTU","GGDEBT","TOT","PC_GDP","A","2019",44.54689,
